id,code,name,url,structId,structId_name,nb_struct,nb_struct_incoming,noise
49,univ-nantes,Université de Nantes,http://hal.univ-nantes.fr,93263.0,Institut de Recherche en Santé de l'Université de Nantes [IRS-UN],263,148,0.5627376425855514
6599,univ-lille,Université de Lille,https://hal.univ-lille.fr,374570.0,Faculté de Médecine Henri Warembourg - Université de Lille,133,25,0.18796992481203006
95,audencia,Audencia Business School,https://hal-audencia.archives-ouvertes.fr,456031.0,Audencia Business School,1,0,0.0
85,uag,Université des Antilles,https://hal.univ-antilles.fr,466882.0,Université des Antilles (Pôle Martinique),11,2,0.18181818181818182
107,ema,École nationale supérieure des mines d'Albi-Carmaux,https://hal-mines-albi.archives-ouvertes.fr,469216.0,IMT École nationale supérieure des Mines d'Albi-Carmaux [IMT Mines Albi],7,0,0.0
5939,imt-atlantique,IMT Atlantique,https://hal-imt-atlantique.archives-ouvertes.fr,481355.0,IMT Atlantique Bretagne-Pays de la Loire [IMT Atlantique],44,0,0.0
7259,cnrs,Centre national de la recherche scientifique,https://hal-cnrs.archives-ouvertes.fr,441569.0,Centre National de la Recherche Scientifique et Technologique [CNRST],5561,999,0.17964394893004856
50,institut-telecom,Institut Mines-Télécom,https://hal-imt.archives-ouvertes.fr,302102.0,Institut Mines-Télécom Business School [IMT-BS],61,1,0.01639344262295082
9676,isara,Isara,https://hal-isara.archives-ouvertes.fr,1081289.0,ISARA Corporation,1,0,0.0
71,hcl,Hospices Civils de Lyon,https://hal-hcl.archives-ouvertes.fr,300074.0,"Hospices Civils de Lyon, Departement de Neurologie [HCL]",478,421,0.8807531380753139
9613,univ-eiffel,Université Gustave Eiffel,https://hal-univ-eiffel.archives-ouvertes.fr,580722.0,Université Gustave Eiffel,76,1,0.013157894736842105
6477,u-paris-seine,CY Cergy Paris Université,https://hal-cyu.archives-ouvertes.fr/,1003413.0,CY Cergy Paris Université [CY],37,0,0.0
7092,telecom-paristech,Télécom Paris,https://hal.telecom-paris.fr,1048346.0,Télécom Paris,3,0,0.0
8358,universite-paris-saclay,Université Paris-Saclay,https://hal-universite-paris-saclay.archives-ouvertes.fr,419361.0,AP-HP. Université Paris Saclay,243,31,0.12757201646090535
7921,univ-paris,Université de Paris,https://hal-univ-paris.archives-ouvertes.fr,557826.0,"Unité de Gynécologie Médicale, AP-HP, Hôpital Port-Royal, Université de Paris",535,27,0.05046728971962617
11,inserm,Inserm,https://www.hal.inserm.fr,303623.0,"Pôle des Cardiopathies Congénitales du Nouveau-Né à L'adulte - Centre Constitutif Cardiopathies Congénitales Complexes M3C, Groupe Hospitalier Paris Saint-Joseph, Hôpital Marie-Lannelongue, Inserm U999, Université Paris-Saclay",2607,790,0.30303030303030304
30,meteo,Météo-France,https://hal-meteofrance.archives-ouvertes.fr,1079823.0,Météo-France,21,0,0.0
9844,nantes-universite,Nantes Université,https://hal-nantes-universite.archives-ouvertes.fr,1083366.0,Nantes Université - pôle Santé,22,0,0.0
5852,agrosup-dijon,AgroSup Dijon,https://hal-agrosup-dijon.archives-ouvertes.fr,415469.0,,31,0,0.0
90,agrocampus-ouest,Agrocampus Ouest,https://hal-agrocampus-ouest.archives-ouvertes.fr,108028.0,,94,52,0.5531914893617021
65,brgm,BRGM - Bureau de Recherches Géologiques et Minières,https://hal-brgm.archives-ouvertes.fr,18404.0,,25,10,0.4
26,cea,CEA - Commissariat à l’énergie atomique,https://hal-cea.archives-ouvertes.fr,300016.0,,830,381,0.45903614457831327
7636,chu-clermontferrand,CHU de Clermont-Ferrand,https://hal-chu-clermontferrand.archives-ouvertes.fr,1082719.0,,5,1,0.2
96,cstb,CSTB - Centre Scientifique et Technique du Bâtiment,https://hal-cstb.archives-ouvertes.fr,300021.0,,6,2,0.3333333333333333
20,cirad,Cirad,http://hal.cirad.fr,11574.0,,203,1,0.0049261083743842365
6911,cnam,Cnam - Conservatoire national des arts et métiers,https://hal-cnam.archives-ouvertes.fr,300351.0,,166,13,0.0783132530120482
6616,em-lyon,EM-LYON Business School,https://hal.em-lyon.com,301362.0,,4,3,0.75
98,enac,ENAC - Ecole Nationale de l'Aviation Civile,https://hal-enac.archives-ouvertes.fr,380071.0,,15,3,0.2
7267,enssib,ENSSIB,https://hal-enssib.archives-ouvertes.fr,43938.0,,6,2,0.3333333333333333
64,ensieta,ENSTA Bretagne,https://hal-ensta-bretagne.archives-ouvertes.fr,301846.0,,18,0,0.0
77,ensta,ENSTA Paris,https://hal-ensta-paris.archives-ouvertes.fr/,300065.0,,10,1,0.1
79,ephe,EPHE - École pratique des hautes études,https://hal-ephe.archives-ouvertes.fr,110691.0,,134,33,0.2462686567164179
76,espci,ESPCI Paris,https://hal-espci.archives-ouvertes.fr,301585.0,,91,31,0.34065934065934067
74,essec,ESSEC BusinessSchool,https://hal-essec.archives-ouvertes.fr,301020.0,,24,16,0.6666666666666666
73,ecp,Ecole Centrale Paris,https://hal-ecp.archives-ouvertes.fr,300342.0,,13,0,0.0
6717,univ-lyon2,Hal Lumière Lyon2,https://hal.univ-lyon2.fr,33804.0,,115,3,0.02608695652173913
99,icp,ICP - Institut Catholique de Paris,https://hal-icp.archives-ouvertes.fr,301937.0,,8,6,0.75
6,democrite,IN2P3 - Institut national de physique nucléaire et de physique des particules,http://hal.in2p3.fr,300046.0,,60,8,0.13333333333333333
25,ineris,INERIS - Institut National de l’EnviRonnement Industriel et des RisqueS,https://hal-ineris.archives-ouvertes.fr,3186.0,,14,12,0.8571428571428571
8822,insa-lyon,INSA Lyon,https://hal-insa-lyon.archives-ouvertes.fr,219748.0,,95,2,0.021052631578947368
109,insa-rennes,INSA Rennes,https://hal-insa-rennes.archives-ouvertes.fr,117606.0,,29,10,0.3448275862068966
5761,insa-toulouse,INSA-Toulouse,https://hal.insa-toulouse.fr,116255.0,,43,9,0.20930232558139536
5815,inshea,INSHEA,https://hal-inshea.archives-ouvertes.fr,308431.0,,1,0,0.0
27,insu,INSU - Institut national des sciences de l'Univers,https://hal-insu.archives-ouvertes.fr,300045.0,,199,13,0.06532663316582915
19,ird,IRD - Institut de recherche pour le développement,https://hal.ird.fr,67872.0,,240,112,0.4666666666666667
29,irsn,IRSN - Institut de Radioprotection et de Sûreté Nucléaire,https://hal-irsn.archives-ouvertes.fr,300040.0,,280,249,0.8892857142857142
4217,inalco,Inalco - Institut National des Langues et Civilisations Orientales,https://hal-inalco.archives-ouvertes.fr,300064.0,,52,8,0.15384615384615385
59,inrap,Inrap - Institut national de recherches archéologiques préventives,https://hal-inrap.archives-ouvertes.fr,301475.0,,15,1,0.06666666666666667
4638,insep,"Insep - Institut national du sport, de l'expertise et de la performance",https://hal-insep.archives-ouvertes.fr,441096.0,,5,0,0.0
7808,inrae,"Institut National de Recherche en Agriculture, Alimentation et Environnement",https://hal.inrae.fr,577435.0,,505,21,0.041584158415841586
34,mnhn,MNHN - Muséum national d'Histoire naturelle,https://hal-mnhn.archives-ouvertes.fr,7512.0,,141,0,0.0
4926,montpellier-supagro,Montpellier SupAgro,https://hal-montpellier-supagro.archives-ouvertes.fr,1090073.0,,25,0,0.0
3895,normandie-univ,Normandie Université,https://hal-normandie-univ.archives-ouvertes.fr,455934.0,,9,0,0.0
106,onera,ONERA - Office National d'Études et de Recherches Aérospatiales,https://hal-onera.archives-ouvertes.fr,300024.0,,75,7,0.09333333333333334
104,pse,PSE - Paris School of Economics,https://hal-pse.archives-ouvertes.fr,301309.0,,6,4,0.6666666666666666
108,esc-rennes,Rennes Business School,https://hal-rennes-sb.archives-ouvertes.fr,301752.0,,1,0,0.0
78,rbs,Rouen Business School,https://hal-rbs.archives-ouvertes.fr,301663.0,,10,1,0.1
